"ID","Age","Gender","Accident_History","Risk_Score","Premium"
1,48,"Male",1,75,475
2,32,"Male",5,135,775
3,68,"Male",3,125,725
4,31,"Female",4,130,750
5,20,"Female",0,100,600
6,59,"Male",4,120,700
7,67,"Male",1,95,575
8,71,"Female",0,90,550
9,60,"Male",3,105,625
10,54,"Female",5,145,825
11,69,"Female",3,135,775
12,31,"Female",2,100,600
13,71,"Male",1,95,575
14,42,"Male",3,105,625
15,43,"Male",2,90,550
16,44,"Female",2,100,600
17,22,"Female",5,175,975
18,68,"Female",1,105,625
19,44,"Male",0,60,400
20,74,"Female",5,165,925
21,45,"Female",5,145,825
22,74,"Male",5,155,875
23,26,"Male",3,105,625
24,46,"Male",4,120,700
25,52,"Male",4,120,700
26,25,"Male",4,120,700
27,43,"Male",4,120,700
28,24,"Male",5,165,925
29,59,"Female",1,85,525
30,26,"Female",5,145,825
31,79,"Female",1,105,625
32,36,"Female",5,145,825
33,53,"Female",5,145,825
34,31,"Male",4,120,700
35,34,"Male",2,90,550
36,60,"Female",0,70,450
37,56,"Female",1,85,525
38,70,"Female",1,105,625
39,29,"Male",4,120,700
40,32,"Female",4,130,750
41,49,"Male",0,60,400
42,59,"Female",0,70,450
43,62,"Female",1,105,625
44,24,"Female",1,115,675
45,26,"Female",1,85,525
46,58,"Female",2,100,600
47,27,"Male",5,135,775
48,40,"Male",2,90,550
49,44,"Male",4,120,700
50,77,"Female",0,90,550
51,70,"Female",5,165,925
52,24,"Female",2,130,750
53,70,"Male",1,95,575
54,44,"Male",4,120,700
55,49,"Male",0,60,400
56,55,"Female",5,145,825
57,42,"Male",2,90,550
58,51,"Female",1,85,525
59,46,"Male",3,105,625
60,22,"Male",0,90,550
61,25,"Female",0,70,450
62,29,"Female",2,100,600
63,80,"Male",1,95,575
64,30,"Male",0,60,400
65,35,"Female",5,145,825
66,50,"Female",1,85,525
67,74,"Male",2,110,650
68,44,"Male",1,75,475
69,42,"Male",5,135,775
70,55,"Female",5,145,825
71,38,"Male",5,135,775
72,32,"Male",3,105,625
73,58,"Male",3,105,625
74,64,"Male",1,95,575
75,43,"Female",0,70,450
76,77,"Male",1,95,575
77,48,"Female",2,100,600
78,33,"Male",3,105,625
79,69,"Female",4,150,850
80,47,"Male",2,90,550
81,23,"Female",2,130,750
82,60,"Female",1,85,525
83,25,"Male",2,90,550
84,39,"Female",3,115,675
85,39,"Female",0,70,450
86,56,"Male",2,90,550
87,48,"Male",1,75,475
88,65,"Male",0,80,500
89,34,"Male",4,120,700
90,71,"Female",3,135,775
91,67,"Female",5,165,925
92,66,"Male",4,140,800
93,51,"Male",1,75,475
94,21,"Male",5,165,925
95,30,"Male",1,75,475
96,22,"Female",0,100,600
97,71,"Male",2,110,650
98,80,"Female",5,165,925
99,68,"Female",2,120,700
100,42,"Female",4,130,750
101,69,"Male",2,110,650
102,39,"Female",5,145,825
103,42,"Female",2,100,600
104,49,"Female",3,115,675
105,63,"Female",2,120,700
106,42,"Male",2,90,550
107,40,"Female",0,70,450
108,52,"Male",0,60,400
109,57,"Male",3,105,625
110,65,"Female",3,135,775
111,47,"Female",5,145,825
112,29,"Male",4,120,700
113,48,"Male",3,105,625
114,74,"Male",0,80,500
115,63,"Male",2,110,650
116,47,"Male",2,90,550
117,52,"Male",5,135,775
118,31,"Male",4,120,700
119,46,"Female",0,70,450
120,49,"Female",2,100,600
121,24,"Male",0,90,550
122,20,"Male",5,165,925
123,40,"Female",2,100,600
124,71,"Male",3,125,725
125,75,"Male",5,155,875
